answerUuid,studentId,exerciceId,exerciceType,exerciceTitle,answeredAt,answerContent,answerScore,answerIsRight,assessmentUuid,assessmentScore,assessmentIsManual,assessmentStatus,recordedFeedback
9862d6ac-5d19-438d-a334-fd87af2aded6,723,14318,OneFileExercice,Valeur absolue d'un nombre - c++,1780052420,"float absolute_value(float number){
    

    if (){
        
    }
    else{
        
    }
}",0,0,fc5bd893-0f7a-4d24-a2e6-9b91615dcfce,0,0,0,"{""status"":1,""stderr"":""main.cpp: In function \u2018float absolute_value(float)\u2019:\nmain.cpp:6:9: error: expected primary-expression before \u2018)\u2019 token\n    6 |     if (){\n      |         ^\nmain.cpp:12:1: warning: no return statement in function returning non-void [-Wreturn-type]\n   12 | }\n      | ^\n""}"
a68e1eb1-8ac4-40d1-af1e-900777cfb7b3,723,14318,OneFileExercice,Valeur absolue d'un nombre - c++,1780052426,"float absolute_value(float number){
    

   return 2;
}",0,0,5b85b873-8267-45c1-bfcc-424f87c70993,0,0,0,"{""tests"":[{""name"":""revois la d&eacute;finition de la valeur absolue"",""isRight"":0,""message"":"""",""expected"":""1.100000"",""submitted"":""2.000000""},{""name"":""Value absolue nombre al&eacute;atoire"",""isRight"":0,""message"":"""",""expected"":""8.000000"",""submitted"":""2.000000""},{""name"":""Value absolue nombre al&eacute;atoire -1.000000"",""isRight"":0,""message"":"""",""expected"":""1.000000"",""submitted"":""2.000000""}],""status"":0,""stdout"":"""",""timing"":0.24959611892700195,""pictures"":[]}"
21351990-2c3b-4890-b823-36f9eaf4b84c,10231,14315,OneFileExercice,Un premier programme bis,1780052585,"using namespace std;
#include <iostream>

int main(void){
  int v1 = 2;
  double v2 = 3.2;
  bool v3 = true;
  string v4 = ""test"";

  cout << v1 << endl;
  cout << v2 << endl;
  cout << v3 << endl;
  cout << v4 << endl;
  
    
 

}",0,0,1ec19d3b-94ad-435f-ac7c-fd5ca8cd389d,0,0,0,"{""tests"":[],""status"":0,""stdout"":""2\n3.2\n1\ntest"",""timing"":0.6096527576446533,""pictures"":[]}"
bc4ea2d0-0b65-4256-bdf8-0701baa9fad9,10119,14315,OneFileExercice,Un premier programme bis,1780052639,"using namespace std;
#include <iostream>

int main(void){
  v1=2;
  v2=3.2;
  v3=true;
  v4=""test""
 

}",0,0,4099085f-2657-4e10-b47c-df177769dd66,0,0,0,"{""status"":1,""stderr"":""main.cpp: In function \u2018int main()\u2019:\nmain.cpp:7:3: error: \u2018v1\u2019 was not declared in this scope; did you mean \u2018y1\u2019?\n    7 |   v1=2;\n      |   ^~\n      |   y1\nmain.cpp:8:3: error: \u2018v2\u2019 was not declared in this scope\n    8 |   v2=3.2;\n      |   ^~\nmain.cpp:9:3: error: \u2018v3\u2019 was not declared in this scope\n    9 |   v3=true;\n      |   ^~\nmain.cpp:10:3: error: \u2018v4\u2019 was not declared in this scope\n   10 |   v4=\""test\""\n      |   ^~\n""}"
27710fde-49a3-45a5-9ae9-ce2fafe08b27,10457,14317,OneFileExercice,Aide mémoire c++,1780052649,"//fonction pour afficher: cout


std::cout << ""hello "" << 42;

//si vous utilisez using namespace std pas besoin de std::
cout << ""hello "" << 42; 

//inclure <iostream> pour pouvoir utiliser cout
#include <iostream>



// création d'une fonction
type_retour nom_fonction(type_param valeur){

}

//exemple
float add(float v1, float v2){

    float result;

    return 2.5;
}

//exemple fonction avec pointeur (tableau)
// n_values contient le nombre de valeur du tableau values
float function(float* values, int n_values){

  values[0]// contient la première valeur du tableau
}

//exemple de if 

if (a <2){

}


//exemple de if / else

if (a == 2){
  
}
else{

}

  
//exemple de boucle for qui répère une instruction 5 fois 

for (int i = 0; i < 5; i++){


}



// -----------------------------------------------
// STRINGS EN C++
// -----------------------------------------------

// inclure <string> pour utiliser std::string
#include <string>

// création d'une string
std::string s1 = ""bonjour"";
std::string s2 = ""monde"";

// concaténation de deux strings avec +
std::string s3 = s1 + "" "" + s2; // ""bonjour monde""

// longueur d'une string
int longueur = s1.length(); // ou s1.size()

// accès à un caractère par son index
char premier = s1[0]; // 'b'
char dernier = s1[s1.length() - 1]; // 'r'

// parcours d'une string caractère par caractère
for (int i = 0; i < s1.length(); i++){
    char c = s1[i];
    std::cout << c << std::endl;
}

// parcours avec une boucle for range (C++11)
for (char c : s1){
    std::cout << c << std::endl;
}

// comparer deux strings
if (s1 == s2){
    // les strings sont égales
}

// extraire une sous-chaîne : substr(position_debut, longueur)
std::string sub = s1.substr(0, 3); // ""bon""

// chercher un caractère ou une sous-chaîne : find
// retourne std::string::npos si non trouvé
size_t pos = s1.find('j'); // position de 'j' dans ""bonjour""

",0,0,2e8faac7-44e5-4e48-97a3-0f04a20f826c,0,0,0,"{""status"":1,""stderr"":""main.cpp:6:6: error: \u2018cout\u2019 in namespace \u2018std\u2019 does not name a type\n    6 | std::cout << \""hello \"" << 42;\n      |      ^~~~\nmain.cpp:2:1: note: \u2018std::cout\u2019 is defined in header \u2018<iostream>\u2019; did you forget to \u2018#include <iostream>\u2019?\n    1 | #include \""utils.h\""\n  +++ |+#include <iostream>\n    2 | \nmain.cpp:9:1: error: \u2018cout\u2019 does not name a type\n    9 | cout << \""hello \"" << 42;\n      | ^~~~\nmain.cpp:17:1: error: \u2018type_retour\u2019 does not name a type\n   17 | type_retour nom_fonction(type_param valeur){\n      | ^~~~~~~~~~~\nmain.cpp: In function \u2018float function(float*, int)\u2019:\nmain.cpp:33:12: error: expected \u2018;\u2019 before \u2018}\u2019 token\n   33 |   values[0]\/\/ contient la premi\u00e8re valeur du tableau\n      |            ^\n      |            ;\n   34 | }\n      | ~           \nmain.cpp:34:1: warning: no return statement in function returning non-void [-Wreturn-type]\n   34 | }\n      | ^\nmain.cpp: At global scope:\nmain.cpp:38:1: error: expected unqualified-id before \u2018if\u2019\n   38 | if (a <2){\n      | ^~\nmain.cpp:45:1: error: expected unqualified-id before \u2018if\u2019\n   45 | if (a == 2){\n      | ^~\nmain.cpp:48:1: error: expected unqualified-id before \u2018else\u2019\n   48 | else{\n      | ^~~~\nmain.cpp:55:1: error: expected unqualified-id before \u2018for\u2019\n   55 | for (int i = 0; i < 5; i++){\n      | ^~~\nmain.cpp:55:17: error: \u2018i\u2019 does not name a type\n   55 | for (int i = 0; i < 5; i++){\n      |                 ^\nmain.cpp:55:24: error: \u2018i\u2019 does not name a type\n   55 | for (int i = 0; i < 5; i++){\n      |                        ^\nmain.cpp:84:1: error: expected unqualified-id before \u2018for\u2019\n   84 | for (int i = 0; i < s1.length(); i++){\n      | ^~~\nmain.cpp:84:17: error: \u2018i\u2019 does not name a type\n   84 | for (int i = 0; i < s1.length(); i++){\n      |                 ^\nmain.cpp:84:34: error: \u2018i\u2019 does not name a type\n   84 | for (int i = 0; i < s1.length(); i++){\n      |                                  ^\nmain.cpp:90:1: error: expected unqualified-id before \u2018for\u2019\n   90 | for (char c : s1){\n      | ^~~\nmain.cpp:95:1: error: expected unqualified-id before \u2018if\u2019\n   95 | if (s1 == s2){\n      | ^~\n""}"
d832836f-d997-4654-8611-1c28150c7de7,10119,14315,OneFileExercice,Un premier programme bis,1780052679,"using namespace std;
#include <iostream>

int main(void){
  int v1=2;
  float v2=3.2;
  bool v3=true;
  string v4=""test""
 

}",0,0,202f2ca8-2e39-4c38-bd77-af99dd2f330f,0,0,0,"{""status"":1,""stderr"":""main.cpp: In function \u2018int main()\u2019:\nmain.cpp:13:1: error: expected \u2018,\u2019 or \u2018;\u2019 before \u2018}\u2019 token\n   13 | }\n      | ^\n""}"
2f008c27-d881-4b3a-b023-a8fdf4cd653c,10119,14315,OneFileExercice,Un premier programme bis,1780052690,"using namespace std;
#include <iostream>

int main(void){
  int v1=2;
  float v2=3.2;
  bool v3=true;
  string v4=""test"";
 

}",0.75,0,13d03287-a68b-4f3d-84c4-0ccf769ddddb,0,0,0,"{""tests"":[],""status"":0,""stdout"":"""",""timing"":0.5997726917266846,""pictures"":[]}"
2f008c27-d881-4b3a-b023-a8fdf4cd653c,10119,14315,OneFileExercice,Un premier programme bis,1780052690,"using namespace std;
#include <iostream>

int main(void){
  int v1=2;
  float v2=3.2;
  bool v3=true;
  string v4=""test"";
 

}",0.75,0,49983ea3-15ee-4a40-9267-31938915b0b6,0.75,1,0,
fba9c27f-be1d-4b61-9f7d-406b4ee0ceac,10231,4764,OneFileExercice,moyenne de trois nombre,1780052746,"using namespace std;
#include <stdio.h>

float moyenne_trois_nombre(float a, float b, float c){
    float result;
    //utiliser a, b, c et result uniquement
    result = avg(a, b, c);
    return result;
    
}

void test_moyenne_trois_nombres(){
    result = moyenne_trois_nombre(1, 2, 3);
    cout << result << endl;
  
    
}",0,0,f7dc5afa-e9b9-4f34-bb8a-8150bcf0e786,0,0,0,"{""status"":1,""stderr"":""main.cpp: In function \u2018float moyenne_trois_nombre(float, float, float)\u2019:\nmain.cpp:9:14: error: \u2018avg\u2019 was not declared in this scope\n    9 |     result = avg(a, b, c);\n      |              ^~~\nmain.cpp: In function \u2018void test_moyenne_trois_nombres()\u2019:\nmain.cpp:15:5: error: \u2018result\u2019 was not declared in this scope\n   15 |     result = moyenne_trois_nombre(1, 2, 3);\n      |     ^~~~~~\nmain.cpp:16:5: error: \u2018cout\u2019 was not declared in this scope\n   16 |     cout << result << endl;\n      |     ^~~~\nmain.cpp:2:1: note: \u2018std::cout\u2019 is defined in header \u2018<iostream>\u2019; did you forget to \u2018#include <iostream>\u2019?\n    1 | #include \""utils.h\""\n  +++ |+#include <iostream>\n    2 | \nmain.cpp:16:23: error: \u2018endl\u2019 was not declared in this scope\n   16 |     cout << result << endl;\n      |                       ^~~~\nmain.cpp:2:1: note: \u2018std::endl\u2019 is defined in header \u2018<ostream>\u2019; did you forget to \u2018#include <ostream>\u2019?\n    1 | #include \""utils.h\""\n  +++ |+#include <ostream>\n    2 | \n""}"
8fb627f9-4271-4826-b636-f8d5d335b5c8,10657,14315,OneFileExercice,Un premier programme bis,1780052751,"using namespace std;
#include <iostream>

int main(void){
  int v1 = 2;
  dooble v2 =3.2;
  bool v3 = true;
  string v4 = ""test"";
  cout<<v1, v2, v3, v4;


}",0,0,caeca153-3a24-49b6-8757-036add9326fb,0,0,0,"{""status"":1,""stderr"":""main.cpp: In function \u2018int main()\u2019:\nmain.cpp:8:3: error: \u2018dooble\u2019 was not declared in this scope; did you mean \u2018double\u2019?\n    8 |   dooble v2 =3.2;\n      |   ^~~~~~\n      |   double\nmain.cpp:11:13: error: \u2018v2\u2019 was not declared in this scope; did you mean \u2018v4\u2019?\n   11 |   cout<<v1, v2, v3, v4;\n      |             ^~\n      |             v4\n""}"
